epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2424.22,1.85649,0.95571,1.1278,0.67544,0.4428,0.48357,0.25178,1.8483,0.75311,1.02737,0.00064855,0.00064855,0.00064855
73,2457.83,1.86142,0.93987,1.12733,0.7461,0.72478,0.58561,0.32065,1.89685,0.75883,1.04024,0.0006436,0.0006436,0.0006436
74,2492.52,1.84193,0.93488,1.12005,0.68119,0.43005,0.46253,0.23595,1.86248,0.75859,1.03205,0.00063865,0.00063865,0.00063865
75,2525.35,1.85896,0.91462,1.10569,0.68372,0.6992,0.56761,0.28187,1.86009,0.75112,1.02824,0.0006337,0.0006337,0.0006337
76,2558.91,1.85077,0.94251,1.12454,0.68928,0.71979,0.5214,0.28561,1.8559,0.75833,1.02916,0.00062875,0.00062875,0.00062875
77,2594.9,1.86156,0.949,1.12576,0.93876,0.45624,0.51224,0.26104,1.9045,0.76772,1.04136,0.0006238,0.0006238,0.0006238
78,2627.14,1.83895,0.92687,1.1107,0.6696,0.45993,0.46587,0.24961,1.89718,0.7645,1.03542,0.00061885,0.00061885,0.00061885
79,2660.05,1.82747,0.93268,1.12758,0.69615,0.46937,0.47181,0.22321,1.87874,0.75161,1.03427,0.0006139,0.0006139,0.0006139
80,2693.48,1.82921,0.92154,1.1147,0.71751,0.72992,0.53803,0.28558,1.88658,0.7452,1.03864,0.00060895,0.00060895,0.00060895
81,2725.17,1.84162,0.94081,1.11872,0.84228,0.73033,0.72844,0.38975,1.85758,0.74418,1.02965,0.000604,0.000604,0.000604
82,2757.92,1.83089,0.929,1.11802,0.70602,0.43913,0.4841,0.25195,1.87548,0.75758,1.03269,0.00059905,0.00059905,0.00059905
83,2791.76,1.83139,0.91741,1.10554,0.85808,0.73609,0.76354,0.44191,1.85413,0.74635,1.02617,0.0005941,0.0005941,0.0005941
